address,provisional_name,confidence,notes
0x00401000,ddraw_palette_get_entry,high,DirectDrawPalette GetEntries for one palette entry; surface unlock/relock guard
0x004010A0,capture_palette_range,high,captures caller-selected palette range through 0x00401000
0x004011E0,upload_directdraw_palette_range,high,inclusive first/last + biased 0x44-stride palette source; builds PALETTEENTRYs and calls DirectDraw palette SetEntries
0x004012B0,load_jba_320x200,high,256 RGB triples then 10-lane deinterleave into 64000-byte framebuffer
0x00401470,draw_bitmap_text,high,lazy-loads font2.jba; ASCII-0x20 glyph table; menu/status strings
0x00401660,blit_sprite_transparent_clipped,high,8-bit clipped sprite blit; source index 0 transparent; uses 0x154 object fields
0x00401780,sprite_entity_init,high,initializes common 0x154-byte object and clears 32 frame pointers
0x00401820,sprite_entity_release_frames,high,frees frame pointers using byte +0x141 count
0x004018F0,wait_vertical_blank_thunk,high,single jump to 0x004061E0 DirectDraw WaitForVerticalBlank wrapper; 11 static call sites in Win32 state-2 region
0x00401E60,spawn_mini_explosion_sprite,high,allocates miniexp pool sprite; centers on source and inherits velocity
0x00401F60,point_in_entity_hitbox,high,inclusive point test using entity collision extents +0x28/+0x2A
0x00401FA0,point_hits_opaque_sprite_pixel,high,current-frame pixel mask; palette index zero transparent
0x00402000,point_plus_y9_in_entity_hitbox,high,same hitbox test after +9 Y shift; gameplay role open
0x00402050,emit_composite_explosion_effect,high,randomized explosion/debris orchestration; every 19th delegates large effect
0x00402430,activate_sprite_with_random_velocity,high,activate in-bounds sprite and assign randomized +0x10/+0x14 velocity
0x004024B0,emit_large_explosion_effect,high,large randomized explosion/mini/debris effect + expscale audio
0x00402770,center_sprite_on_entity_copy_velocity,high,center destination and inherit source velocity
0x004027B0,emit_debris_particle_group,medium,0x61C group pool with 0x18-byte randomized particles; exact identity partial
0x00402900,play_explosion_sfx_variant,high,cycles explode2/explode3/explode4 20-voice pools
0x00402B40,update_debris_particle_groups,high,"0x61C groups / 0x18 records; motion, gravity/lifetime, retirement and group teardown"
0x00402CA0,render_debris_particle_groups,high,plots primary and secondary debris records directly to indexed framebuffer
0x00402EF0,update_secondary_debris_particle_group,high,secondary 0x18-record bank; motion/gravity/lifetime and zero-count teardown
0x00402FC0,entity_hitbox_overlaps_sprite_rect,high,centered collision extents of first entity vs full sprite rectangle of second; inclusive
0x004032C0,update_junk_wheel_debris_sprites,high,walks 15-entry junk1/junk2/wheel common-entity pools
0x00403330,update_debris_sprite_entity,high,"velocity, fully-on-screen retirement, rare gravity, signed-byte frame-step update"
0x004033D0,compose_scrolling_world_viewport,high,320x600 scenery -> 320x200 framebuffer; wraps at world row 600
0x00403460,blit_entity_scaled_transparent,high,entity wrapper using +0x24/+0x26 destination render dimensions
0x00403560,compose_ordering_information_world_background,high,state-7-only cyclic 320x600 scenery copy into framebuffer rows 35..179; uses shared world_scroll_row
0x00403650,update_bomber_boss,high,registered Bomber composite combat; state2 counter60 +100; exact start corrected
0x00404350,initialize_bomber_boss,high,boss dispatch slot5
0x004044B0,load_bomber_boss_assets,high,Bombmid/left/right/top + Bomber1/Squish1/Absorb/Level3; absent from shareware install
0x00404690,release_bomber_boss_assets,high,guarded Bomber cleanup
0x00404B60,directx_platform_init,high,"DirectDraw 320x200x8 + primary surface/palette, then DirectInput and DirectSound initialization"
0x00404D60,ddraw_shutdown,high,called on WM_QUIT exit path
0x00404DC0,window_proc,high,registered as WNDCLASSEX callback
0x00404E30,winmain_like,high,"window creation, message pump, surface lock/present, calls game_dispatch_update"
0x00405000,update_gemini_boss,high,paired Gemini body/head combat and symmetric destruction branches
0x00405EF0,initialize_gemini_boss,high,boss dispatch slot1; activates Gemini encounter
0x00405FB0,load_gemini_boss_assets,high,Gemini1/2 30-frame body bank + Gemhead + Gemini.wav + Level2.wav
0x00406190,release_gemini_boss_assets,high,guarded Gemini frame/audio cleanup; corrects old Phase-1 generic audio-shutdown candidate
0x004061E0,ddraw_wait_vertical_blank,high,calls IDirectDraw vtable slot 0x58 with flags 4 and event 0; direct vertical-blank wait
0x00406200,load_wav,high,WinMM RIFF/WAVE loader family
0x00406650,directsound_init,high,calls imported DirectSoundCreate then sets cooperative level and initializes sound slots
0x00406730,directsound_play_slot,high,resets selected secondary buffer position to 0 then invokes IDirectSoundBuffer::Play
0x00406780,directsound_set_volume,high,maps caller volume scale then invokes IDirectSoundBuffer::SetVolume
0x004067B0,directsound_set_frequency,high,invokes IDirectSoundBuffer::SetFrequency
0x004067D0,directsound_stop_reset,high,invokes Stop then SetCurrentPosition(0) on selected DirectSound buffer
0x00406860,directsound_get_status,high,invokes IDirectSoundBuffer::GetStatus and returns status flags
0x004068E0,directinput_create,high,calls imported DirectInputCreateA
0x00406AC0,poll_directinput_joystick_state,high,Poll/Acquire/GetDeviceState into 0x0053C428 0x50-byte state buffer
0x00406B80,copy_software_framebuffer_to_surface,high,64k software framebuffer -> locked DirectDraw surface; handles pitch
0x00406BE0,copy_surface_to_software_framebuffer,high,reverse pitched 320x200 copy
0x00406C40,fill_locked_surface,high,fills 320x200 locked surface respecting pitch
