id,platform,address,provisional_name,type_or_width,confidence,status,known_writers,known_readers,evidence,notes
WIN-GL-001,windows,0x0042B188,game_state_raw,32-bit scalar,high,established,main-menu selection; gameplay pause/quit/cheat inputs; modal exits; demo-launch transition,0x0040BA50 direct dispatcher; main-menu/modal/gameplay subordinate paths,Menu labels + selection jump table map 0/2/3/7/8/13; gameplay overlays map 5/6/99; modal/menu-entry paths establish 1/4,"User-facing values 0..8,13,99 are semantically mapped; protocol is not a simple closed dispatcher enum because direct table handles only 0..5"
WIN-GL-002,windows,0x0042B1B4,vertical_retrace_sync_mode,32-bit scalar,high,established,initialization writes +1; VK_TAB path negates value in place,0x00411456 QPC pacing guard; Tab feedback renderer,default +1 at 0x00418051; VK_TAB writer 0x0040C39C-0x0040C3B5; UI literals VERTICAL RETRACE / SYNC ON / SYNC OFF; QPC wait iff value == +1,Values toggle +1/-1. User-facing original label is vertical retrace sync even though this specific guard controls the 15000-count QPC busy wait; DirectDraw WaitForVerticalBlank remains a separate primitive.
WIN-GL-003,windows,0x00440DF8,qpc_buffer_ptr,pointer to >=8 bytes,high,established,timer init/allocation,QueryPerformanceCounter call sites,8-byte allocation passed to QPC,Lifetime/ownership cleanup mapped only partially
WIN-GL-004,windows,0x004677E8,previous_qpc_low,32-bit scalar,high,established,timer init/update,pacing delta calculation,Low 32 bits used as previous timestamp,Wrap behavior should be preserved if relevant
WIN-GL-005,windows,0x0045A140,current_qpc_low,32-bit scalar,medium,candidate,gameplay QPC path,timing code,Updated from QPC buffer,Exact lifetime/secondary uses pending
WIN-GL-006,windows,0x0048003C,qpc_delta_low,32-bit scalar,high,established,gameplay timing path,frame limiter/path consumers,current low32 - previous low32,Unsigned comparison to 15000 observed
WIN-GL-007,windows,0x004D9580,main_hwnd,HWND/pointer-sized 32-bit,high,established,0x00404E30,platform/subsystem paths,Window handle saved by startup routine,Win32-only host state
WIN-GL-008,windows,0x004D9584,locked_surface_pixels,32-bit pointer,high,established,DirectDraw lock/surface path,render/game update paths,DirectDraw Lock descriptor pixel pointer; consumed by pitched surface-copy/fill helpers,Locked DirectDraw surface pixel pointer; distinct from software framebuffer WIN-GL-020
WIN-GL-009,windows,0x004DA780,locked_surface_pitch,32-bit scalar,high,established,DirectDraw surface descriptor path,render/game update paths,DirectDraw Lock descriptor pitch; compared to 320 and used as row stride,Byte pitch of locked DirectDraw surface; 320 permits contiguous copy
WIN-GL-010,windows,0x00446C30,trajectory_loop_arrays,"3 adjacent 32-bit pointers (x,y,aux)",high,established,trajectory loader initialization,trajectory-group setup/update paths,Loop.fly allocation/load site; original loader count 380,Address names first pointer slot; +4 Y pointer; +8 AUX pointer
