id,dos_address,dos_name,windows_address,windows_name,relationship,confidence,status,evidence
CORR-JBA-001,0x00067F90,load_jba_320x200,0x004012B0,load_jba_320x200,algorithm,high,established,Both loaders read 256 RGB triples and perform the same 10-lane 64000-byte pixel deinterleave
CORR-PAL-001,0x00067F1C,vga_palette_update,0x004011E0,set_palette_range,behavioral,medium,candidate,Both sit on the palette side of the JBA loading path; platform output mechanisms differ
CORR-AUD-001,0x0007ECB4,hmi_sample_loader,0x00406200,load_wav,behavioral,medium,candidate,Both participate in sample loading for platform-specific audio paths; not claimed one-to-one function equivalents
CORR-TIME-001,0x0006940C,wait_vga_vertical_retrace,0x004018F0 -> 0x004061E0,wait_vertical_blank_thunk / ddraw_wait_vertical_blank,behavioral/platform timing,high,established,DOS polls VGA status 0x3DA for retrace; Win32 calls IDirectDraw::WaitForVerticalBlank via vtable offset 0x58. QPC limiter is a separate mechanism.
CORR-SPRITE-001,0x00068220 / 0x000682D0 / 0x00068300,sprite_entity_14f init/release/blit family,0x00401780 / 0x00401820 / 0x00401660,sprite_entity_154 init/release/blit family,field-level data-layout and lifecycle correspondence,high,established,Shared semantic prefix through collision fields; DOS frame table +0x3E vs Win +0x40; current/count/activity DOS +0x13E/+0x13F/+0x140 vs Win +0x140/+0x141/+0x142; tail DOS +0x14A/+0x14C/+0x14D/+0x14E maps to Win +0x14C/+0x14E/+0x14F/+0x150; both preserve an unreferenced 0x80-byte middle block
CORR-SCORES-001,0x000894FC / 0x000898C8,save/load_high_scores_file,0x0041F120 / 0x004174D0,save/load_high_scores_file,exact persistence-format algorithm,high,established,Both builds process ten 30-byte-name records with four numbers and independently implement the same 3-digit noise + rand()%400+300 padding + 3-digit noise + filler-separated character/digit encoding.
CORR-MSHIP-001,0x0006C964 / 0x0006CDB0,load/release_mothership_assets,0x00413290 / 0x00413870,load/release_mothership_assets,asset lifecycle / encounter object family,high,established,"Both builds load/release the same hull0..3, panel0..3, damage0/1, hub, motor and hole Mothership asset cluster; DOS refs recovered from LE internal fixups."
CORR-DEMO-001,data 0x4CE84 / 0x4CE88 / 0x4CE8C,demo recording/playback modes + frame index,0x00466B00 / 0x00440594 / 0x0047EBD4,demo recording/playback modes + frame index,shared replay protocol / gameplay-update clock,high,established,"Both builds reset the replay index to zero, increment it once per active gameplay update when recording or playback is enabled, consume parallel replay channels at that index, and use the identical terminal threshold 0x82F (2095); four canonical DOS/Windows demo files are byte-identical."
CORR-SYNC-001,data 0xD0; 0x0007DC89,vertical_retrace_sync_mode / gameplay sync gate,0x0042B1B4; 0x0041144D,vertical_retrace_sync_mode / gameplay sync gate,user-facing Tab sync protocol and end-of-update pacing gate,high,established,"Both initialize sync to +1, negate it on Tab, render VERTICAL RETRACE / SYNC ON|OFF, and gate an end-of-gameplay-update pacing wait when value == +1; DOS waits VGA retrace, Win32 enforces a 15000-count QPC minimum. Platform primitives differ."
CORR-INPUT-001,0x0006BAD0 / 0x0006BB4C + state2 consumers,game-port normalization + gameplay input selection,0x00406AC0 / 0x00420090 + state2 consumers,DirectInput normalization + gameplay input selection,semantic action convergence,high,established,Both builds normalize physical input to independent actions and replace the same six controls with replay channels 1..6; canonical shared demo files are byte-identical.
CORR-TEXT-001,0x000809B0,draw_bitmap_text,0x00401470,draw_bitmap_text,exact FONT2 glyph-cache/data-layout and mask-render algorithm,high,established,"Both lazily load FONT2.JBA; build 64 x 0x14 descriptors with x=1+8*(i%16), y=1+6*(i/16), width=7, height=5, allocate width*height+1 at +0x10, copy from 320-byte source stride, index by character-0x20 and render nonzero mask pixels in caller color."
