target_address,provisional_name,static_call_sites,scope_start,scope_stop
0x00421ED0,crt_rand,56,0x0040BAB9,0x00411D86
0x00401660,blit_sprite_transparent_clipped,49,0x0040BAB9,0x00411D86
0x00420020,play_sfx_from_20_voice_pool,25,0x0040BAB9,0x00411D86
0x00401470,draw_bitmap_text,19,0x0040BAB9,0x00411D86
0x00406730,directsound_play_slot,16,0x0040BAB9,0x00411D86
0x004067D0,directsound_stop_reset,12,0x0040BAB9,0x00411D86
0x004018F0,wait_vertical_blank_thunk,11,0x0040BAB9,0x00411D86
0x00402900,play_explosion_sfx_variant,10,0x0040BAB9,0x00411D86
0x00406780,directsound_set_volume,9,0x0040BAB9,0x00411D86
0x004011E0,set_palette_range,8,0x0040BAB9,0x00411D86
0x00401E60,spawn_mini_explosion_sprite,8,0x0040BAB9,0x00411D86
0x00402050,emit_composite_explosion_effect,8,0x0040BAB9,0x00411D86
0x004298B0,,8,0x0040BAB9,0x00411D86
0x004010A0,capture_palette_range,7,0x0040BAB9,0x00411D86
0x00406B80,copy_software_framebuffer_to_surface,6,0x0040BAB9,0x00411D86
0x00401F60,point_in_entity_hitbox,5,0x0040BAB9,0x00411D86
0x004012B0,load_jba_320x200,4,0x0040BAB9,0x00411D86
0x00401FA0,point_hits_opaque_sprite_pixel,4,0x0040BAB9,0x00411D86
0x00406C40,fill_locked_surface,4,0x0040BAB9,0x00411D86
0x00421E90,,4,0x0040BAB9,0x00411D86
0x00401940,,3,0x0040BAB9,0x00411D86
0x00413940,blit_sprite_scaled_transparent_clipped,3,0x0040BAB9,0x00411D86
0x0041CDF0,trigger_player_destruction_sequence,3,0x0040BAB9,0x00411D86
0x00401D20,,2,0x0040BAB9,0x00411D86
0x00402000,point_plus_y9_in_entity_hitbox,2,0x0040BAB9,0x00411D86
0x004024B0,emit_large_explosion_effect,2,0x0040BAB9,0x00411D86
0x004027B0,emit_debris_particle_group,2,0x0040BAB9,0x00411D86
0x00402D70,,2,0x0040BAB9,0x00411D86
0x00402FC0,entity_hitbox_overlaps_sprite_rect,2,0x0040BAB9,0x00411D86
0x00403030,,2,0x0040BAB9,0x00411D86
0x00403460,blit_entity_scaled_transparent,2,0x0040BAB9,0x00411D86
0x004067B0,directsound_set_frequency,2,0x0040BAB9,0x00411D86
0x00406860,directsound_get_status,2,0x0040BAB9,0x00411D86
0x0041D690,run_mission_outcome_transition,2,0x0040BAB9,0x00411D86
0x0041EB70,render_shield_meter,2,0x0040BAB9,0x00411D86
0x0041EBE0,render_drone_detonation_radial_noise,2,0x0040BAB9,0x00411D86
0x00401A50,,1,0x0040BAB9,0x00411D86
0x00402B40,update_debris_particle_groups,1,0x0040BAB9,0x00411D86
0x00402CA0,render_debris_particle_groups,1,0x0040BAB9,0x00411D86
0x00402EF0,update_secondary_debris_particle_group,1,0x0040BAB9,0x00411D86
0x004032C0,update_junk_wheel_debris_sprites,1,0x0040BAB9,0x00411D86
0x004033D0,compose_scrolling_world_viewport,1,0x0040BAB9,0x00411D86
0x00403490,,1,0x0040BAB9,0x00411D86
0x00403650,update_bomber_boss,1,0x0040BAB9,0x00411D86
0x00404350,initialize_bomber_boss,1,0x0040BAB9,0x00411D86
0x00404720,run_completion_credits,1,0x0040BAB9,0x00411D86
0x00405000,update_gemini_boss,1,0x0040BAB9,0x00411D86
0x00405EF0,initialize_gemini_boss,1,0x0040BAB9,0x00411D86
0x00406200,load_wav,1,0x0040BAB9,0x00411D86
0x00406800,,1,0x0040BAB9,0x00411D86
0x00406840,,1,0x0040BAB9,0x00411D86
0x00406CC0,update_registered_boss_slot2,1,0x0040BAB9,0x00411D86
0x00407980,initialize_registered_boss_slot2,1,0x0040BAB9,0x00411D86
0x00411E90,,1,0x0040BAB9,0x00411D86
0x00413A90,,1,0x0040BAB9,0x00411D86
0x00413BC0,,1,0x0040BAB9,0x00411D86
0x00414A20,,1,0x0040BAB9,0x00411D86
0x00414D80,update_spidey_boss,1,0x0040BAB9,0x00411D86
0x00415AC0,initialize_spidey_boss,1,0x0040BAB9,0x00411D86
0x00415FA0,update_trajectory_groups,1,0x0040BAB9,0x00411D86
0x00416700,update_lid_top_boss,1,0x0040BAB9,0x00411D86
0x00417220,initialize_lid_top_boss,1,0x0040BAB9,0x00411D86
0x004174A0,confirm_input_pressed,1,0x0040BAB9,0x00411D86
0x00418AC0,run_main_menu,1,0x0040BAB9,0x00411D86
0x0041A460,save_demo_replay_text,1,0x0040BAB9,0x00411D86
0x0041AFB0,run_high_score_table,1,0x0040BAB9,0x00411D86
0x0041B730,,1,0x0040BAB9,0x00411D86
0x0041C9D0,,1,0x0040BAB9,0x00411D86
0x0041D220,,1,0x0040BAB9,0x00411D86
0x0041E420,animate_game_over_banner_slide,1,0x0040BAB9,0x00411D86
0x0041E4D0,,1,0x0040BAB9,0x00411D86
0x0041E6D0,render_player_shield_effect,1,0x0040BAB9,0x00411D86
0x0041EE90,,1,0x0040BAB9,0x00411D86
0x0041EFE0,,1,0x0040BAB9,0x00411D86
0x00420090,normalize_joystick_gameplay_actions,1,0x0040BAB9,0x00411D86
0x00421D20,crt_free_like,1,0x0040BAB9,0x00411D86
0x00421D70,crt_malloc_like,1,0x0040BAB9,0x00411D86
