structure_id,offset,width,signedness,provisional_name,confidence,status,evidence
WIN-STRUCT-002,0x00,4,signed,position_x,high,established,0x00401660 blitter and trajectory position write
WIN-STRUCT-002,0x04,4,signed,position_y,high,established,0x00401660 blitter and trajectory position write
WIN-STRUCT-002,0x10,4,signed,velocity_x,high,established,effect spawners/randomizers write velocity; 0x00401E60 and 0x00402770 inherit/copy source +0x10
WIN-STRUCT-002,0x14,4,signed,velocity_y,high,established,effect spawners/randomizers write velocity; 0x00401E60 and 0x00402770 inherit/copy source +0x14
WIN-STRUCT-002,0x18,2,signed,trajectory_x_offset,medium,partial,trajectory-group spawn adds to X in path-owned objects
WIN-STRUCT-002,0x1A,2,signed,trajectory_y_offset,medium,partial,trajectory-group spawn adds to Y in path-owned objects
WIN-STRUCT-002,0x20,2,signed,sprite_width,high,established,0x00401660 clipping/row logic
WIN-STRUCT-002,0x22,2,signed,sprite_height,high,established,0x00401660 clipping/row logic
WIN-STRUCT-002,0x28,2,signed,collision_width_extent,high,established,0x00401780 computes int(width*0.85); 0x00401F60/0x00402000 use as inclusive X hitbox extent
WIN-STRUCT-002,0x2A,2,signed,collision_height_extent,high,established,0x00401780 computes int(height*0.85); 0x00401F60/0x00402000 use as inclusive Y hitbox extent
WIN-STRUCT-002,0x30,1,unknown,trajectory_state_30,low,candidate,trajectory-group initialization clears field
WIN-STRUCT-002,0x32,2,signed,trajectory_index_or_object_param_32,high,partial,0x00415FA0 advances and indexes X/Y/AUX with this field in trajectory-owned entities; special projectile reuses offset
WIN-STRUCT-002,0x36,2,signed,trajectory_step_or_object_counter_36,high,partial,0x00415FA0 adds this signed word to +0x32 each trajectory update; special projectile reuses offset
WIN-STRUCT-002,0x38,2,signed,trajectory_end_index_or_object_param_38,high,partial,0x00415FA0 signed-compares path index +0x32 against +0x38 and wraps index to zero when greater
WIN-STRUCT-002,0x40,0x80,pointer array,frame_pixels_32,high,established,32 pointers cleared by init; selected by current_frame; freed by release routine
WIN-STRUCT-002,0x140,1,signed/byte,current_frame,high,established,0x00401660 indexes frame pointer table with this byte
WIN-STRUCT-002,0x141,1,signed/byte,frame_count,high,established,0x00401820 iterates frame pointers to this count
WIN-STRUCT-002,0x142,1,byte enum,activity_state,medium,partial,"values 0,1,3 observed; many update paths gate on ==1"
WIN-STRUCT-002,0x14C,2,unknown,unknown_14c,medium,open,0x00401780 initializes to 1
WIN-STRUCT-003,0x00,1,byte,group_mode,high,established,"0x00415FA0 and group setup use modes 0 inactive, 1 persistent loop, 2 retire-on-path-wrap, and 10 breakaway fly-off"
WIN-STRUCT-003,0x01,1,signed byte,entity_count,high,established,group loops bound inline entity iteration with this field
WIN-STRUCT-003,0x02,1,byte,active_entity_count,high,established,0x00415FA0 increments on stagger activation and decrements on path-exit/breakaway retirement; zero inactivates group
WIN-STRUCT-003,0x04,4,pointer,trajectory_pointer_slots,high,established,points at adjacent X/Y/AUX pointer globals; consumer dereferences +0/+4
WIN-STRUCT-003,0x08,2,signed,x_offset,high,established,added to trajectory X during spawn
WIN-STRUCT-003,0x0A,2,signed,y_offset,high,established,added to trajectory Y during spawn
WIN-STRUCT-003,0x0C,2,signed,spawn_delay_counter,high,established,0x00415FA0 increments +0x0C and resets it after equality with +0x0E activates next inline entity
WIN-STRUCT-003,0x0E,2,signed,spawn_delay_interval,high,established,0x00415FA0 activates next inline entity when incremented +0x0C equals +0x0E
WIN-STRUCT-003,0x10,2,signed,activated_entity_count,high,established,0x00415FA0 compares against entity_count then increments and activates inline entity at previous count
WIN-STRUCT-003,0x14,variable,inline,entities,high,established,first inline WIN-STRUCT-002 object; indexing formula uses 0x154 stride
WIN-STRUCT-004,0x4494,4,pointer,decoded_pixels_320x200,high,established,0x00401900 stores allocation; 0x004012B0 writes decoded pixels; 0x00401860 reads; 0x00401450 frees
WIN-STRUCT-002,0x143,1,byte,out_of_bounds_flag,high,established,0x00401D20/0x00401E60/effect helpers set 0/1 from screen-bound checks
WIN-STRUCT-002,0x3C,2,unknown,object_threshold_or_param_3c,medium,partial,special projectile reset initializes +0x3C to 12 and compares +0x36 against it for load/cycle progress; other object-family uses pending
WIN-STRUCT-002,0x24,2,signed,render_width,high,established,0x00403460 forms scaled destination right edge as entity.x + +0x24; 0x00413940 consumes resulting rectangle
WIN-STRUCT-002,0x26,2,signed,render_height,high,established,0x00403460 forms scaled destination bottom edge as entity.y + +0x26; 0x00413940 consumes resulting rectangle
WIN-STRUCT-001,0x00,4,signed,x,high,established,FONT2 cache init stores source X; text renderer overwrites with destination X
WIN-STRUCT-001,0x04,4,signed,y,high,established,FONT2 cache init stores source Y; text renderer overwrites with destination Y
WIN-STRUCT-001,0x08,4,signed,width,high,established,Both builds initialize every descriptor to glyph width 7
WIN-STRUCT-001,0x0C,4,signed,height,high,established,Both builds initialize every descriptor to glyph height 5
WIN-STRUCT-001,0x10,4,pointer,mask_pixels,high,established,Allocation helper stores width*height+1 buffer; extractor writes 35 meaningful mask bytes
DOS-STRUCT-001,0x00,4,signed,x,high,established,FONT2 cache init stores source X; text renderer overwrites with destination X
DOS-STRUCT-001,0x04,4,signed,y,high,established,FONT2 cache init stores source Y; text renderer overwrites with destination Y
DOS-STRUCT-001,0x08,4,signed,width,high,established,Both builds initialize every descriptor to glyph width 7
DOS-STRUCT-001,0x0C,4,signed,height,high,established,Both builds initialize every descriptor to glyph height 5
DOS-STRUCT-001,0x10,4,pointer,mask_pixels,high,established,Allocation helper stores width*height+1 buffer; extractor writes 35 meaningful mask bytes
