address,mechanism,classification,ordinary_update,corresponding_windows,notes
0x0007756D,VGA retrace wait,outer startup/video transition,no,,Occurs in setup path around video-mode/resource transition before canonical active-update clock
0x000777C0,VGA retrace wait,startup/palette-scene transition,no,0x0040BB44,Bounded startup/presentation path
0x00077919,VGA retrace wait,startup/presentation transition,no,0x0040BCB5,Presentation-copy loop
0x00077945,VGA retrace wait,startup/presentation transition,no,0x0040BCEC,Presentation-copy loop
0x000779DA,VGA retrace wait,startup/fade loop,no,0x0040BD77,Bounded fade/presentation loop
0x00077BC6,VGA retrace wait,Drone-outcome transition,no,0x0040BF55,One-shot progression transition before replay-index increment
0x00078461,VGA retrace wait,Tab sync-feedback loop,no,0x0040C4B9,UI feedback for VERTICAL RETRACE / SYNC ON|OFF
0x0007880E,VGA retrace wait,state/cheat transition feedback,no,0x0040C7FF,State/message transition presentation
0x0007CB9A,VGA retrace wait,player-death/effect presentation loop,no,0x00410739,Repeated inside bounded player-death visual/effect sequence
0x0007DC92,VGA retrace wait,ordinary gameplay tail pacing,yes,0x0041144D,Called iff sync scalar data offset 0xD0 == +1; one baseline sync wait per ordinary active gameplay update
