id,priority,area,question,status,blocking,next_evidence
Q-TIME-001,critical,timing,What is the intended simulation cadence and update/render relationship?,resolved,no longer blocking: canonical DOS fidelity scheduler established,Resolved for DOS fidelity: mode 13h + shared replay/update boundary + one ordinary tail retrace wait. Preserve Win32 QPC behavior as a separate historical-port question.
Q-STATE-001,critical,state,"What do raw state values 0..8,13,99 mean and which are transitions/sentinels?",resolved,no longer blocking: user-facing Win32 state protocol mapped,"Resolved by main-menu literal/selection dispatch, dispatcher state 1/4 paths, instructions/high-score/ordering modal ownership, and gameplay pause/quit/cheat overlays; see reverse/windows/state_machine.md"
Q-ENTITY-001,critical,structures,What structure uses the observed 0x14-byte cleanup stride?,resolved,"no longer blocking: identified as FONT2 glyph descriptor/cache, not gameplay entity state",Resolved by Win32 0x00401470/0x00401570/0x004015D0/0x00401630 and DOS 0x000809B0/0x00083CB0/0x000694EC/0x0006958C; see docs/reverse/BITMAP_FONT.md
Q-INPUT-001,high,input,What is the canonical input bit/action representation?,resolved,no longer blocking: semantic gameplay input boundary established,Resolved by Win32 DirectInput normalization + state-2 source selection and DOS game-port/replay convergence; see docs/reverse/INPUT.md.
Q-FLY-001,high,formats/gameplay,"What is the semantic meaning of FLY AUX, and how are trajectory index/step advanced?",resolved,no longer blocking: normal AUX and path progression recovered,Resolved by Win32 0x00415FA0; retain Q-FLY-002 and loader-specific exceptions
Q-DEMO-001,high,demo,What are the 14 demo fields?,resolved,no longer blocking: all 14 playback semantics mapped,See docs/reverse/DEMO_REPLAY.md; retain narrower open questions below
Q-RENDER-001,high,rendering,Which remaining palette/HUD/special-effect render routines surround the now-confirmed unscaled and scaled transparent sprite paths?,resolved,no longer blocking: late palette helper ownership and upload schedule established,Resolved by Win32 0x004011E0/0x00403490/0x0041EE90/0x0041EFE0 plus state-2 call/upload scheduling; see docs/reverse/PALETTE_EFFECTS.md
Q-LEVEL-001,high,levels,What exact retail reachability and historical level naming remain beyond the now-established compiled scenery/encounter transition table?,open,retail/full-game parity only; no longer blocks shareware or compiled branch-6 reconstruction,Acquire lawful retail/full reference to verify dormant branches 3-6 and original level names; branch-6 zero-detonation Mothership relation is resolved in the shareware PE
Q-JBA-002,medium,formats,What is the complete small-JBA embedded-PCX container format?,resolved,no longer blocking: physical container and clean import contract established,"Resolved from all three canonical Windows members: byte-0 preamble length, PCX at 1+N, exact 128x128 single-plane 8-bit RLE, and markerless raw 768-byte RGB8 palette; canonical Drone_sw.exe runtime ownership remains unclaimed; see docs/formats/JBA.md"
Q-FULL-001,medium,evidence,Which lawful full release becomes the canonical retail evidence set?,open,levels 3-7 parity,Acquire/hash/version full release
Q-TIME-002,high,timing,Does Win32 0x0042B1B4 correspond directly to the documented Tab vertical-retrace-sync toggle?,resolved,no longer blocking: Win32 Tab writer/UI mapping established,"Resolved on both builds: see WIN-TIME-004, DOS-TIME-002, and docs/TIMING.md"
Q-ENTITY-002,critical,structures,What are the remaining fields/object-family variants of the Win32 0x154 sprite/entity structure and DOS 0x14F correspondent?,resolved,"no longer blocking: common/core fields, contextual overlays and DOS 0x14F correspondence established",Resolved by Win32 initializer/blit/free/collision/destruction corpus plus DOS 0x00068220/0x000682D0/0x00068300/0x0007F800 family; see docs/reverse/ENTITY_LAYOUT.md
Q-FLY-002,medium,formats/gameplay,Why do canonical Rightdiv.fly and Swarm.fly contain one fewer physical record than their Win32 loader loops request?,resolved,no longer blocking: missing loader slots are unreachable in canonical group path cycles,Rightdiv canonical replay slots 1/2 use end index 117; Swarm groups 3/4 use end index 945; see WIN-FLY-006
Q-COLL-001,medium,collision,Why does original opaque-pixel collision use inclusive right/bottom comparisons before indexing width*height frame data?,open,exact edge-case fidelity only,Correlate sprite extraction allocation dimensions and find reachable collision coordinates on exact right/bottom edges
Q-FX-001,medium,effects,What are the exact visual identities and lifetime/update rules of the small debris pools used by composite explosions?,resolved,no longer blocking: particle and junk/wheel debris identities/update rules mapped,Resolved by WIN-FX-002/WIN-FX-003; retain deeper palette/art parity work under rendering rather than effect-lifecycle semantics.
Q-DEMO-002,medium,demo/authoring,"What developer workflow authored or populated trajectory replay channels 7-9, which have no gameplay writer in the canonical Win32 executable?",open,exact historical demo-authoring reconstruction only,DOS writer search; retail/dev binaries; hidden tools or preloaded-demo workflow
Q-DEMO-003,medium,demo/recording,What reachable path sets 0x00466B00 nonzero to begin demo recording?,open,reproduce original recording UI/workflow only,trace indirect writes/pointers and state/menu/debug input paths
Q-BOMB-001,medium,projectiles,What is the semantic meaning of the additional state-2 condition at 0x00433B54 that redirects active bombs from player.x+17 toward an attached Probe?,resolved,none; 0x00433B54 is the established processed-Drone outcome count and redirect requires count>1 plus attached Probe state2,Resolved from all 0x00433B54 writers/readers; Win32 0x0040E3D9 compares processed count against 1 before the attached-Probe steering branch
Q-LIFE-001,medium,gameplay/player-lifecycle,What exact subsystem/state does 0x00438C14 represent in the deferred player-death settlement gate?,resolved,no longer blocking,Resolved as enemy_bomb_spawn_gate_counter; see WIN-BOMB-004 and PLAYER_LIFECYCLE.md
Q-RESULT-001,high,gameplay/post-game,What are the complete semantics and state transitions of the post-game/results region beginning at 0x004115BE?,resolved,no longer blocking: Win32 post-game/results state and high-score handoff established,"Resolved: lives<=0 entry, presentation suppression, six statistics, 58-present confirmation lock, Ordering Information handoff, high-score insertion modes/slot0 quirk, final states and completion credits; see docs/reverse/POST_GAME_FLOW.md"
Q-RESULT-002,medium,gameplay/post-game,What is raw byte 0x004726DA and why does value 2 select disarm6m.jba / hiphop.wav?,resolved,no longer blocking: it is Mothership core target +0x142 activity state; state 2 is the destruction-sequence outcome,See WIN-RESULT-002 and docs/reverse/MOTHERSHIP.md
Q-HISCORE-001,medium,high-scores,What are the user-facing meanings of the two 16-bit per-entry high-score statistics at 0x00440428 and 0x00446DE8?,resolved,no longer blocking: resolved as Mothership destroyed and Percentage hit,See WIN-HISCORE-003 and docs/reverse/HIGH_SCORES.md
Q-SCORES-001,medium,persistence/high-scores,What are the exact DOS semantic mappings of the four numeric fields stored by the shared scores format?,resolved,no longer blocking: all four numeric semantic mappings established across DOS/Windows,See CORR-SCORES-001 and docs/formats/SCORES.md
Q-MSHIP-001,high,gameplay/mothership,What are the complete state semantics and subsystem interactions of the composite Mothership encounter beyond the established load/core-hit/destruction milestones?,open,full registered-game encounter parity,Partition hull/panel/hub/motor/core update paths; classify core states other than 0/2; recover live DOS destruction producer; lid.jba ownership is resolved separately
Q-BOSS-001,high,gameplay/bosses,What are the resource identities and full state machines of the four formerly unresolved boss initializers in the six-entry pre-Drone dispatch?,resolved,"no longer blocking: Gemini, Spidey and Bomber identities/lifecycles established; slot2 behavior established but proper identity moved to Q-BOSS-002",See docs/reverse/BOSS_PROGRESSION.md and family-specific boss documents.
Q-BOSS-002,medium,gameplay/bosses,What is the proper asset/name identity and missing load path of registered boss dispatch slot 2?,open,registered-game boss visual/content parity only,Acquire lawful retail/full build/assets; compare slot2 loader/guard writes and component frame initialization against shareware PE.
Q-TIME-003,medium,timing/windows-port,What effective wall-clock cadence did the Win32 15000-QPC-count limiter produce on representative late-1990s target systems?,open,not blocking DOS-fidelity scheduler,Run original Win32 executable or a minimal extracted QPC timing probe on representative/emulated Windows hardware; do not infer from the executable without counter frequency.
Q-AUDIO-003,medium,audio/dos-runtime,How many HMI digital mixer voices/channels does canonical Drone DOS actually configure?,resolved,no longer blocking: canonical DOS executable explicitly configures 32 digital voices,Resolved by sosDIGIInitDriver 0x0008D4AF: allocates 0x1E00 bytes for 32 x 0xF0 voice records and writes driver+0x14 = 0x20 at 0x0008D78A.
