id,platform,address,provisional_name,category,confidence,status,known_callers,known_callees,key_globals,correspondence_id,evidence,notes
WIN-FN-001,windows,0x004012B0,load_jba_320x200,asset/high,high,established,,crt_fopen_like; set_palette_range,,CORR-JBA-001,Reads palette + 64000-byte 10-lane payload,Common 320x200 JBA image/sprite-sheet loader; destination pixel pointer is sheet-container +0x4494
WIN-FN-002,windows,0x004011E0,upload_directdraw_palette_range,render/platform,high,established,JBA palette path; state-2 palette scheduler; results/menu palette restore,DirectDraw palette SetEntries vtable +0x18,DirectDraw palette object 0x004DA770; caller-supplied palette upload base,CORR-PAL-001,Builds inclusive PALETTEENTRY range from source+i*0x44 RGB low bytes and invokes SetEntries,Source bases 0x00441C20 and 0x00455B80 are biased 8 bytes before the corresponding RGB-record origins
WIN-FN-003,windows,0x00404B60,directx_platform_init,platform,high,established,winmain_like,DirectDraw/DirectInput/DirectSound initialization,,,API import/call anchors,Sets 320x200x8 display path
WIN-FN-004,windows,0x00404D60,ddraw_shutdown,platform,high,established,winmain_like,,,,Shutdown path/API anchors,DirectDraw-side teardown
WIN-FN-005,windows,0x00404DC0,window_proc,platform,high,established,Win32 message dispatch,,,,Registered WNDCLASSEX callback,Window procedure
WIN-FN-006,windows,0x00404E30,winmain_like,platform/loop,high,established,PE entry/runtime,directx_platform_init; game_dispatch_update; ddraw_shutdown; game_shutdown,main_hwnd; framebuffer_or_surface_pixels; framebuffer_pitch,,Control flow + Win32/DirectDraw API anchors,Top-level message/surface/update loop
WIN-FN-007,windows,0x00406190,release_gemini_boss_assets,asset/gameplay/boss,high,established,game/session cleanup and world transitions,sprite_entity_release_frames; DirectSound release helpers,Gemini body/head entities; gemini/level2 sound handles; asset guard 0x004D95BC,,Guarded release frees Gemini body/head frame banks and Gemini/Level2 audio then clears 0x004D95BC,Corrects the Phase-1 provisional audio-shutdown label; function ownership is now resource-specific.
WIN-FN-008,windows,0x00406200,load_wav,audio/asset,high,established,,WinMM/RIFF helpers,,CORR-AUD-001,RIFF/WAVE loading path,Windows audio asset loader family
WIN-FN-009,windows,0x00406650,directsound_init,audio/platform,high,established,directx_platform_init,DirectSoundCreate; cooperative-level/setup,,,Imported DirectSound API anchors,Initializes sound slots after device creation
WIN-FN-010,windows,0x004068E0,directinput_create,input/platform,high,established,directx_platform_init,DirectInputCreateA,,,Imported DirectInput API anchor,Creates DirectInput interface
WIN-FN-011,windows,0x00406AC0,poll_directinput_joystick_state,input/platform,high,established,normalize_joystick_gameplay_actions 0x00420090,DirectInput device Poll/Acquire/GetDeviceState vtable methods,0x0053C498 joystick device; 0x0053C49C input-ready guard; 0x0053C428 raw 0x50-byte state,CORR-INPUT-001,"Polls device then GetDeviceState(size 0x50, 0x0053C428); absent device path zeroes the state buffer",Physical Win32 host helper; not part of portable gameplay ABI.
WIN-FN-012,windows,0x0040B380,game_shutdown,lifecycle,medium,candidate,winmain_like,audio_shutdown_or_reset; frees,,,Frees timer and global buffers; subsystem teardown,Exact ownership map incomplete
WIN-FN-013,windows,0x0040BA50,game_dispatch_update,state/gameplay,high,established,winmain_like,state table targets; gameplay regions,game_state_raw,,Six-entry direct table for raw 0..5; menu/modal/gameplay evidence maps full user-facing state protocol,State 2 is gameplay orchestrator; values >5 are subordinate transition/modal values rather than ordinary direct cases
WIN-FN-014,windows,0x00411456,frame_limiter_busywait,timing,high,established,active gameplay path,QueryPerformanceCounter,frame_limiter_enabled; previous_qpc_low; qpc_delta_low,,Busy wait until low32 delta >= 0x3A98,Ordinary Win32 state-2 tail pacing replacement for DOS retrace wait; raw 15000 QPC counts are host-frequency dependent
WIN-FN-015,windows,0x00418AC0,run_main_menu,state/ui,high,established,dispatcher states 1 and 4; transition sites,configure joystick 0x00420160; instructions 0x0041C4B0; ordering info 0x0041B730; high scores 0x0041AFB0,game_state_raw; main-menu selector 0x0053C4EC,,Renders literal menu labels START GAME through EXIT DRONE; seven-entry selection jump table writes exact game-state transitions,State 1 enters after full gameplay-session reset; state 4 re-enters menu without that pre-reset
WIN-FN-016,windows,0x00421CD0,crt_fopen_like,runtime,high,established,asset/data loaders,,,,C runtime behavior/call signature,Analysis anchor; not game logic
WIN-FN-017,windows,0x00421D20,crt_free_like,runtime,high,established,many,,,,C runtime behavior,Analysis anchor; not game logic
WIN-FN-018,windows,0x00421D70,crt_malloc_like,runtime,high,established,many,,,,C runtime behavior,Analysis anchor; not game logic
